id,tmdbId,original_language,title,original_title,overview,poster_path,tagline,keywords,release_date,genres
11,9087,en,The American President,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,Why can't the most powerful man in the world have the one thing he wants most?,"new love, usa president, the white house, widower, wildlife conservation",1995-11-17,"Comedy, Drama, Romance"
12,12110,en,Dracula: Dead and Loving It,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,Got Blood?,"vampire, spoof, dracula",1995-12-22,"Comedy, Horror"
13,21032,en,Balto,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,Part Dog. Part Wolf. All Hero.,"wolf, pet, dog-sledding race, alaska, dog, goose, bear attack, dog sled, pets",1995-12-22,"Family, Animation, Adventure"
14,10858,en,Nixon,Nixon,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.","usa president, washington dc, usa, government, presidential election, 1970s, watergate scandal, biography, historical figure, richard nixon, 1960s",1995-12-22,"Drama, History"
15,1408,en,Cutthroat Island,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,"ship, treasure, exotic island, island, map, scalp, treasure map, sword fight, betrayal, pirate, heroine, swashbuckler, adventurer, pirate ship, 17th century",1995-12-22,"Action, Adventure"
16,524,en,Casino,Casino,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg,No one stays at the top forever.,"drug abuse, casino, poker, italian american, gambling, 1970s, fbi, greed, overdose, car bomb, rise and fall, money, organized crime, mafia, jewish american, las vegas, desert, 1980s",1995-11-22,"Crime, Drama"
17,4584,en,Sense and Sensibility,Sense and Sensibility,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,Lose your heart and come to your senses.,"secret love, london, england, based on novel or book, widow, military officer, servant, country life, pneumonia, inheritance, period drama, english countryside, rainstorm, decorum, horse carriage, young love, dowry, 19th century, penniless, social elite, bloodletting, free spirited, sussex, 1800s, sisters love, social classes, marry for money, secret engagement, devonshire, england",1995-12-13,"Drama, Romance"
18,5,en,Four Rooms,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.","hotel, new year's eve, witch, bet, sperm, hotel room, anthology, los angeles, california, hoodlum, multiple storylines, woman director",1995-12-09,Comedy
19,9273,en,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,New animals. New adventures. Same hair.,"kidnapping, africa, indigenous, human animal relationship, bat, stupidity, slapstick comedy, animal, pets",1995-11-10,"Crime, Comedy, Adventure"
20,11517,en,Money Train,Money Train,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,"Get on, or GET OUT THE WAY!","new york city, sibling relationship, subway, new york subway, train robbery",1995-11-21,"Action, Comedy, Crime"
21,8012,en,Get Shorty,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,Attitude plays a part.,"based on novel or book, miami, florida, gambling, gangster, money, murder, travel, mobster, mafia, business, debt, hollywood, drugs, producer, con",1995-10-20,"Comedy, Thriller, Crime"
22,1710,en,Copycat,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.","police brutality, psychology, police operation, police protection, psychologist, serial killer, cowardliness",1995-10-27,"Thriller, Crime, Mystery"
23,9691,en,Assassins,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",/kgqS4jn60E8UIExfceMUExB3ZKK.jpg,In the shadows of life. In the business of death. One man found a reason to live.,"rescue, cia, hitman, cat, bank, mexican standoff, seattle, washington, mission of murder, hidden camera, rivalry, shootout, police chase, sniper rifle, detroit, michigan, silencer, double cross, caribbean sea",1995-10-06,"Action, Adventure, Crime, Thriller"
24,12665,en,Powder,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,An extraordinary encounter with another human being.,"teenage boy, held at gunpoint, teacher student relationship, albino, fainting, christ allegory, psionic power, healing power, flickering light, extrasensory perception, pale",1995-10-27,"Drama, Fantasy, Science Fiction, Thriller"
25,451,en,Leaving Las Vegas,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg,I Love You... The Way You Are.,"hotel room, dying and death, individual, prostitute, lovesickness, rage and hate, casino, unsociability, alcohol, love at first sight, movie business, screenwriter, alcoholism, los angeles, california, las vegas, alcohol abuse",1995-10-27,"Drama, Romance"
26,16420,en,Othello,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg,"Envy, greed, jealousy and love.","jealousy, friends, the moors (people)",1995-12-15,Drama
27,9263,en,Now and Then,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,In every woman there is the girl she left behind.,"1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director",1995-10-20,"Comedy, Drama, Romance"
28,17015,en,Persuasion,Persuasion,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,"A love lost, but never forgotten in this new BBC dramatization","captain, based on novel or book, napoleonic wars, old flame, admiral",1995-05-01,"Drama, Romance"
29,902,fr,The City of Lost Children,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,Where happily ever after is just a dream.,"rescue, friendship, island, dream, clone, dystopia, eye, aging, steampunk, childhood, child kidnapping, flea",1995-05-17,"Fantasy, Science Fiction, Adventure"
30,37557,zh,Shanghai Triad,摇啊摇，摇到外婆桥,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,"In 1930, Shanghai violence was not the problem. It was the solution.","shanghai, china, chinese mafia, coming of age, mistress, criminal underworld, drug lord, triad, modern china, nightclub singer, 1930s, cabaret singer, chinese triad",1995-09-14,"Drama, Crime"
31,9909,en,Dangerous Minds,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,She broke the rules... and changed their lives.,"high school, california, rap music, karate, naval officer, teacher, based on memoir or autobiography, amusement park, schoolteacher",1995-08-11,Drama
32,63,en,Twelve Monkeys,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,The future is history.,"biological weapon, philadelphia, pennsylvania, schizophrenia, stockholm syndrome, airplane, underground, insanity, asylum, paranoia, prison cell, dystopia, pimp, lion, post-apocalyptic future, time travel, florida keys, mental breakdown, past, dormitory, insane asylum, cockroach, volunteer, drug use, flashback, remake, psychiatric hospital, jail, mental institution, alternate history, disease, lethal virus, paradox, psychiatrist, monkey, epidemic, trapped, falling down stairs, street life, nonlinear timeline, medical research, tooth, pantyhose, gas mask, psychosis, child's point of view, subterranean, virus, recurring dream, 1990s, escaped animal, future noir, 2030s, cassandra syndrome, bullet, endless loop, stream, vivisection, nude pantyhose, microbiologist, real movie shown in fictional situation, kick in face, eating spider, reference to houdini, abandoned theater, tied to a bed, psychiatric care, hiding in a barn, reference to cassandra, biblical quote, person in a car trunk, watching a movie, world war one, lab animal, cassandra complex",1995-12-29,"Science Fiction, Thriller, Mystery"
33,9598,en,Babe,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,A little pig goes a long way.,"farm, sheep, pig, alarm clock, cat, duck, heroism, affection, piglet, anthropomorphism, based on children's book, dog, separation, farmer, grandson, sheepdog, talking pig, christmas",1995-07-18,"Fantasy, Drama, Comedy, Family"
34,47018,en,Carrington,Carrington,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,A Love so Unusual it has to be True,"england, painter, conscientious objector, soldier, polyamory, lgbt interest",1995-05-25,"History, Drama, Romance"
36,9603,en,Clueless,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,Sex. Clothes. Popularity. Is there a problem here?,"puberty, high school, based on novel or book, make a match, spoiled child, coming of age, conflict, wedding, makeover, woman director, popular girl, gay theme",1995-07-19,"Comedy, Romance"
37,31174,en,Richard III,Richard III,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",/cJYgc7UYfQE4EaKzR6Qwy3PF478.jpg,"I can smile, and murder while I smile","england, kidnapping, murder, king",1995-12-29,"Drama, War"
39,35196,en,Restoration,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,"An ordinary man, an irresistible offer. In a world of seduction and power, temptation has its price.","jealousy, court, fountain, medicine, wealth, spaniel, gloves, 17th century, british monarchy",1995-12-29,"Drama, Romance"
41,577,en,To Die For,To Die For,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,All she wanted was a little attention,"adultery, based on novel or book, winter, obsession, new hampshire, mockumentary, narcissistic personality disorder",1995-09-22,"Drama, Comedy, Crime"
42,11861,en,How to Make an American Quilt,How to Make an American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",/vwYRaERccwXWCYrTzeWRZRarJOo.jpg,There's beauty in the patterns of life.,"marriage proposal, wedding vows, married couple, marriage, monogamy, advice, quilt, love, family holiday, extramarital affair, grandmother, woman director",1995-10-06,"Drama, Romance"
43,807,en,Se7en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",/6yoghtyTpznpBik8EngEmJskVUO.jpg,Seven deadly sins. Seven ways to die.,"drug dealer, rage and hate, police, s.w.a.t., sadism, self-fulfilling prophecy, psychopath, detective, rain, investigation, pension, evisceration, pride and vanity, immoderateness, insomnia, murder, serial killer, religion, seven deadly sins, depravity, neo-noir",1995-09-22,"Crime, Mystery, Thriller"
44,10530,en,Pocahontas,Pocahontas,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,An American legend comes to life.,"princess, culture clash, colony, forbidden love, musical, gold rush, native american, colonisation, virginia, star crossed lovers, intercultural relationship, based on myths, legends or folklore, 17th century, shamanism, animal sidekick",1995-06-14,"Adventure, Animation, Family, Romance"
45,8391,en,When Night Is Falling,When Night Is Falling,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg,A visual treat on lust.,"professor, lgbt, woman director, lesbian",1995-02-01,"Drama, Romance"
46,629,en,The Usual Suspects,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,Five criminals. One line up. No coincidence.,"new york city, relatives, heist, gay interest, flashback, police corruption, whodunit, theft, criminal, criminal mastermind, cargo ship, mind game, neo-noir, mystery villain",1995-07-19,"Drama, Crime, Thriller"
47,117164,en,Guardian Angel,Guardian Angel,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",/AoRBM85EbRY9U0jtgy88DtV99Jl.jpg,She's no angel of mercy.,"martial arts, helicopter, bodyguard, police officer killed, boat chase, police officer, female martial artist, female police officer, police surveillance, counterfeit money, mental hospital, murder of a police officer, jetski, corrupt cop, car chase, female bodyguard, shooting a police officer, speedboat chase, horse polo",1994-11-22,"Action, Thriller, Drama"
48,11448,en,Mighty Aphrodite,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",/ice135yQZp4iX2SgCmd90nKgS5j.jpg,"Of all human weaknesses, obsession is the most dangerous, and the silliest!","prostitute, adoption, adoptive father, childlessness, looking for  birth parents, adoptive mother, illegal prostitution, child",1995-09-13,"Comedy, Romance"
50,97406,en,Georgia,Georgia,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,The toughest act to follow was their dreams.,"sibling relationship, alcohol, heroin, seattle, washington, artist, singer, drugs, folk singer, sister sister relationship",1995-05-19,Drama
52,11010,it,The Postman,Il postino,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,Dreams do come true.,"island, fisherman, letter, postman, poet, naples, italy, love, poverty",1994-04-07,"Comedy, Drama, Romance"
54,2054,en,Mr. Holland's Opus,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,"Of All the Lives He Changed, the One That Changed the Most Was His Own.","high school, husband wife relationship, composer, music teacher, mentor, deaf-mute, portland, oregon, apprentice, marching band, teacher student relationship, high school teacher, disabled, teaching, sign languages, father son relationship",1995-12-29,"Drama, Music, Family"
57,9536,en,Bio-Dome,Bio-Dome,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",/pkL8rqpO0EryTV1DLJJdrhOZ7sL.jpg,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,"pollution, biotope, vegetarian, biosphere",1996-01-12,Comedy
58,11525,en,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",/nsKDpcdC62krEPlCKKjLSHuMwwu.jpg,"God made him simple. Science made him a god. Now, he wants revenge.","computer, hacker, virtual reality, technology, sword fight, revenge, cyberpunk, scientist, cyberspace, surveillance, based on short story, world domination, supernatural power",1996-01-12,"Science Fiction, Horror, Action, Thriller"
59,4482,fr,French Twist,Gazon maudit,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,A scorned wife. An outrageous affair. The perfect revenge.,"estate agent, van, love triangle, southern france, menage a trois, polyamory, woman director",1995-01-18,"Comedy, Romance"
60,10634,en,Friday,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",/eqD0jCDIEJ65CmyG63Jaay6bHDp.jpg,A lot can go down between thursday and saturday...,"drug dealer, rap music, parent child relationship, rapper, male friendship, urban life, slacker, pot smoking, bully, marijuana, los angeles, california, drugs",1995-04-26,Comedy
